time_s,voltage_V,current_A,power_W,temperature_K,capacity_Ah,soc,energy_Wh,anode_potential_V
128.0,4.055113847423224,-47.79375036693474,-193.80909893324582,298.87596393902896,2.1835671352043944,0.9228749424198212,8.573829666675968,0.09844575705119887
129.0,4.052855182500155,-40.191969874179186,-162.8922333994572,298.8759148320275,2.1715051952140696,0.9230247801836761,8.524931560038366,0.10076875060015891
130.0,3.9262970212140926,84.06171017116212,330.0512422431962,298.87752594276,2.177510245251814,0.9229501832887973,8.548533677733218,0.15744664224188748
131.0,3.9062755666857485,101.24182698246015,395.47847506821006,298.88585664880827,2.203403700174895,0.9226285254636658,8.649915795964327,0.16487353744900046
132.0,3.91588282772415,88.49965367299829,346.5542740776285,298.8945654295894,2.2297559341368154,0.9223011685200395,8.752975473761502,0.15938492124077008
133.0,3.947015018611275,56.38947233433108,222.5700941951698,298.9002294813494,2.2498707342623936,0.922051295226554,8.832018939395413,0.14504228434707755
134.0,3.958813246949755,45.10346376829095,178.55618984922853,298.90336117051135,2.263965942968574,0.9218761994662289,8.88773086986482,0.13985809296371282
135.0,3.9443084568870397,59.30194251083942,233.90515335533297,298.90663066105986,2.2784647131645417,0.9216960905196951,8.945017470030482,0.14628105431093202
136.0,3.922300734637576,79.9585302018594,313.62140175129394,298.911892194405,2.2978021427660735,0.9214558740029059,9.021063289529565,0.1556111203093875
137.0,3.9558704280673305,46.362680862385744,183.40475818943492,298.9164490447125,2.3153367964800995,0.9212380522176384,9.090094111360237,0.14036286099116274
138.0,3.9274484085208754,73.83361659417788,289.97771998814443,298.92062313198915,2.332022535045815,0.9210307759621638,9.155841768053232,0.15287138162115405
139.0,3.9195512508206476,80.12246691547269,314.04411541737693,298.9269540256412,2.3535846361789883,0.920762923774174,9.240422423453337,0.15577174040678224
140.0,3.934902949928127,63.825185398464036,251.14591030412575,298.93258857867346,2.3735748054454766,0.9205145986901182,9.318918797186514,0.14853040572072565
141.0,3.906019774332662,91.07418790945759,355.73757890563,298.93901657662656,2.3950808331460767,0.9202474430665083,9.403208673325457,0.16088130601140754
142.0,3.9468797844563284,49.81645582863142,196.61956244328698,298.94462015022856,2.4146334522786654,0.9200045533878426,9.479924436788185,0.14239876356184838
143.0,3.949437720844377,47.87625724599963,189.0842963001999,298.9476251762161,2.428150191510772,0.9198366435837171,9.533293798201672,0.1414872969273663
144.0,3.9074576391620366,88.42178344587373,345.5043731939106,298.9529438959208,2.4471946673965252,0.9196000662435214,9.608062239972627,0.15979652464240618
145.0,3.920316710687353,73.91449157257726,289.76821647393416,298.9599148251114,2.4697401178447764,0.9193199985360897,9.69629445082685,0.1534340602646545
146.0,3.9066328562218735,86.00108507562085,335.974664627153,298.96675956324947,2.491949246718322,0.9190441087364183,9.783203577311813,0.15900851426034776
147.0,3.921200608621516,70.19224124675394,275.23785909727985,298.9733939570198,2.513640961145543,0.918774646445397,9.868093367568367,0.1521067229175315
148.0,3.932769468116782,58.509875689792665,230.10585269612494,298.97824108274625,2.531515258592909,0.9185526054833179,9.938279696843493,0.14692203484637537
149.0,3.8954335372821354,94.28479986455005,367.2801714483024,298.98476206371896,2.5528131938668506,0.9182880348587968,10.021604494063373,0.16303809207443398
150.0,3.837623408812513,149.76270982203312,574.73288098023,298.9991123298277,2.5866753060336976,0.9178673875026869,10.152440127489601,0.18706906863086437
151.0,3.836533240681356,144.2014115867371,553.2335089056905,299.01891600965325,2.627504243094607,0.9173601957379551,10.309102078419592,0.18540320550441233
152.0,3.8536018452944814,121.05085228414382,466.4817877366463,299.03593982716575,2.6643423197714213,0.9169025798786159,10.450727415214693,0.17638259577820053
153.0,3.8319737910051566,138.77604850543878,531.7861806921018,299.052643551436,2.7004248916934963,0.9164543491715094,10.589376210066606,0.18455134048686173
154.0,3.8391639546045644,126.25632663276464,484.71873824929025,299.07017950847006,2.7372348090269942,0.915997083117677,10.730556930271137,0.179972396089256
155.0,3.978951983298766,-7.8756996650968345,-31.337030802302476,299.07617331538677,2.7534077220372555,0.9157961773659968,10.793234962142064,0.12022799659652039
156.0,4.059371255851245,-77.32259516697647,-313.88112024864665,299.07598070860917,2.7415253390922425,0.9159437846075498,10.745288000503596,0.08805971531611928
157.0,3.998369001773063,-11.708728657339767,-46.81581771367926,299.0758492180347,2.729121074128027,0.9160978748555524,10.695191325735799,0.11687520369239744
158.0,4.075141635343781,-79.78785037329908,-325.14679105081086,299.0759856250504,2.7163640459555727,0.9162563472552102,10.643529878601813,0.08465756828723985
159.0,4.039345471211308,-37.7812989607163,-152.61171885344987,299.07656538475413,2.7000213817917014,0.9164593617168733,10.57717461959335,0.10236927279166613
160.0,3.9466204372598837,54.585972515566844,215.4301147176424,299.07717205327435,2.7023558143142474,0.9164303625551025,10.586284088990318,0.14403981970969468
161.0,3.9231100391945857,76.69535392685628,300.88431295003176,299.08180653627977,2.7207390623661403,0.9162019992252652,10.65859870216833,0.15361690948524132
162.0,3.8999465091224077,97.48258799270556,380.17687874237,299.0894326543744,2.7452759749589197,0.9158971928576531,10.754531792946324,0.16282002166547094
163.0,3.9057618222103248,88.70768326446341,346.47108263106696,299.0978626743801,2.7711355873014805,0.9155759554372487,10.855454920953056,0.15914055811798156
164.0,3.8985432984650124,93.43907646742933,364.27628537685644,299.10615637632463,2.796547248575913,0.9152602826263861,10.954598850189985,0.16148225814566697
165.0,3.905408579999106,84.21148449258823,328.8802540718157,299.1141363326963,2.8212202296520625,0.9149537859670551,11.050868762521542,0.15767386408255052
166.0,3.901341523966158,86.35558078068874,336.90261312591485,299.1216571088802,2.844910031086216,0.9146595027194259,11.14333877684759,0.1588701925370561
