time_s,voltage_V,current_A,power_W,temperature_K,capacity_Ah,soc,energy_Wh,anode_potential_V,speed_m_s,speed_kmh
3150.0,3.8016615426421225,14.246444634740477,54.16016068727307,303.1880726626807,18.476733006224876,0.7204753663822996,71.08904181575106,0.153397568325766,31.783034577008994,114.41892447723238
3151.0,3.810163090974918,6.615926278841795,25.20775812025404,303.18691604224415,18.479629993552624,0.7204393789620791,71.10006511162835,0.14978766090388554,22.21760362385475,79.9833730458771
3152.0,3.812757887384432,5.461607752897147,20.823788037658563,303.1855683748882,18.481268068997345,0.7204190301987907,71.10630901383577,0.14895316836915695,20.102297398625076,72.36827063505028
3153.0,3.8172938065983866,2.272966473322425,8.67658084121947,303.18414441039636,18.482250811197243,0.7204068222211522,71.11005827080749,0.14718857583590128,11.70328154339129,42.13181355620864
3154.0,3.8198551342785234,1.219403060278989,4.65794304056164,303.18266763257753,18.482699838350086,0.7204012442440982,71.11177298202962,0.14633990136294384,7.194406951794359,25.899865026459693
3155.0,3.8225535624366107,-3.7986424800697492e-06,-1.4520514344613661e-05,303.181165173506,18.4828274068081,0.7203996595427565,71.11226039821958,0.14540484345103322,0.0,0.0
3156.0,3.8240753715049367,-4.007621838942575e-55,-1.5325447972605627e-54,303.17965385367734,18.4828274068081,0.7203996595427565,71.11226039821958,0.1450020316564007,0.0,0.0
3157.0,3.8255283835925304,-8.241512702125579e-67,-3.1528140765719773e-66,303.17814297643724,18.4828274068081,0.7203996595427565,71.11226039821958,0.14460117321138816,0.0,0.0
3158.0,3.826918994712822,4.975668571242361e-83,1.9041480566683e-82,303.1766325413375,18.4828274068081,0.7203996595427565,71.11226039821958,0.14420580437857514,0.0,0.0
3159.0,3.828252088833246,-6.935343608188919e-100,-2.6550243654825534e-99,303.1751225482581,18.4828274068081,0.7203996595427565,71.11226039821958,0.14381686790194215,0.0,0.0
3160.0,3.8295317598399787,7.40923931745649e-119,2.8373917282454714e-118,303.1736129970796,18.4828274068081,0.7203996595427565,71.11226039821958,0.1434348033218879,0.0,0.0
3161.0,3.830761544838839,-1.0622833154401006e-136,-4.0693540745118434e-136,303.17210388768234,18.4828274068081,0.7203996595427565,71.11226039821958,0.1430598414434764,0.0,0.0
3162.0,3.820506646315389,12.000739494647387,45.84890499999993,303.1707214113181,18.48458045977688,0.7203778824872437,71.11896376324161,0.14802643860943931,29.537301058740482,106.33428381146574
3163.0,3.8055282303721043,28.31993877589616,107.77232649408245,303.16986448373217,18.49017824542685,0.7203083447773062,71.1403000751514,0.15500801336091427,42.20085283394308,151.9230702021951
3164.0,3.7918930886700903,42.367711177017334,160.65383119490258,303.16996921516767,18.49999409664559,0.7201864087373218,71.17758154948827,0.1611259761363213,49.23569103873852,177.24848773945868
3165.0,3.7991250303016524,33.632517648772065,127.77413963151203,303.17029134778596,18.510549129875532,0.7200552903121051,71.21764088571875,0.15737035261102322,45.10184477875692,162.36664120352492
3166.0,3.8094509067681077,22.225037693162943,84.66518999317495,303.16988685063114,18.518306041326678,0.7199589311636437,71.2471461279549,0.152381381890445,38.321014519058934,137.95565226861217
